10,1005,Рисование
10,1002,Свечи, мыло
10,1011,Стекло
10,1023,Текстиль
10,1008,Украшения
10,1009,Флористика
10,1021,Шитье
10,1025,Другое
31,3103,Велосипеды
31,3106,Гольф
31,3110,Дайвинг
31,361226,Игры с мячом
31,3104,Конный спорт
31,3111,Лыжи и сноуборд
31,3107,Охота
31,1170,Пейнтбол и страйкбол
31,1169,Роликовые коньки
31,3108,Рыбалка
31,1282,Самокаты и гироскутеры
31,3102,Спортивная обувь
31,3101,Спортивная одежда
31,361239,Спортивное питание
31,1279,Сёрфинг
31,3109,Теннис
31,1275,Фигурное катание
31,3105,Фитнес
31,361227,Хоккей
31,3112,Другое
3103,1283,Аксессуары
3103,1280,Велосипеды для взрослых
3103,1286,Велосипеды для детей
3103,1284,Запчасти
3103,1281,Электровелосипеды
3103,1285,Другое
3101,31013,Детская
3101,31012,Женская
3101,31011,Мужская
35,1128,Бухгалтерские услуги
35,3504,Графика и логотипы
35,21,Здоровье и красота
35,3508,Интернет, компьютеры
35,3505,Медия, обработка, копии
35,1197,Недвижимость
35,1194,Няни, сиделки
35,17,Оборудование для бизнеса
35,3601,Образование и обучение
35,1297,Обслуживание, ремонт техники
35,3503,Одежда и ювелирные изделия на заказ
35,1127,Переводы, обучение языкам
35,3506,Печать
35,3604,Подарки, мероприятия
35,3502,Развлечение
35,3507,Строительство и ремонт
35,1287,Транспорт, перевозки
35,1187,Уборка и утилизация
35,1243,Финансовые услуги
35,3603,Фотография, видео
35,1186,Юридические услуги
35,3509,Другое
21,361231,Косметология, эпиляция
21,361230,Макияж
21,361229,Маникюр, педикюр
21,2109,Массаж
21,2104,Наращивание волос
21,361232,Наращивание ресниц, уход
21,2105,Парикмахер
21,2116,Тату, пирсинг
21,361238,Уход за бровями
21,2118,Уход за телом
17,1704,Здоровье, лаборатории и наука
17,1708,Офис, печать и упаковка
17,1703,Питание и продажа
17,1707,Производство и металл
17,1701,Сельское хозяйство
17,1702,Строительство
17,1706,Тяжелая промышленность
17,1705,Электричество и тестеры
17,1709,Другое
1707,170704,Деревообработка
1707,170702,Металлообработка
1707,170703,Металлы и сплавы
1707,170701,Производственное оборудование
1707,170705,Другое
3507,361244,Дизайн интерьеров и участков
3507,361245,Земляные работы, колодцы, скважины
3507,361246,Кровельные работы
3507,361249,Малярные и отделочные работы
3507,361247,Остекление, ремонт окон
3507,361248,Отделка фасадов
3507,361250,Ремонт квартир и домов
3507,361256,Реставрационные работы
3507,361243,Строительство бань, саун
3507,361242,Строительство домов и фундаментов
3507,361254,Укладка паркета, ламината, линолеума
3507,361255,Укладка плитки и кафеля
3507,361252,Услуги сантехника
3507,361251,Услуги электрика
3507,361253,Установка натяжных потолков
3507,361257,Другие строительные работы
1287,1273,Авторемонт
1287,1096,Автошколы
1287,1291,Аренда транспортных средств
1287,1097,Буксировка
1287,1126,Грузоперевозки
1287,1125,Пассажирские перевозки
1287,1289,Покупка и продажа транспортных средств
1287,1288,Уход за автомобилем
1287,1290,Другое
1187,1193,Дезинфекция
1187,1191,Уборка помещений
1187,1189,Уборка снега
1187,1190,Утилизация и вывоз бытовой техники
1187,1192,Химчистка, прачечная
1187,1188,Другое
26,2609,MP3 Аксессуары
26,2601,iPod, MP3 плееры
26,2604,Гаджеты
26,2606,Домашнее аудио
26,2607,Домашний кинотеатр
26,361235,Дроны, квадрокоптеры
26,2612,Кабельное и спутниковое ТВ
26,13,Камеры и фото
26,25,Компьютеры и планшеты
26,2610,Мобильное аудио и видео
26,14,Мобильные телефоны
26,2613,Настольные телефоны
26,361234,Наушники
26,2611,Радио
26,2614,Телевизоры
26,2616,Устаревшая электроника
26,2605,Устройства GPS
26,2617,Другое
2604,1274,Алкометры
2604,1404,КПК
2604,361221,Калькуляторы
2604,1135,Лазерные указки
2604,1134,Металлоискатели
2604,1147,Цифровые весы
2604,1133,Другое
2606,1143,CD плееры и рекордеры
2606,1146,Hi-Fi системы
2606,1145,Кассетные деки
2606,1140,Колонки
2606,1142,Ресиверы
2606,1141,Сабвуферы
2606,1139,Усилители
2606,1144,Эквалайзеры
2606,1138,Другое
2607,2603,DVD плееры и рекордеры
2607,2615,Видеомагнитофоны
2607,1137,Домашние кинотеатры
2607,1276,Медиаплееры
2607,2608,Проекторы
2607,1136,Другое
13,1303,Аксессуары для видеокамер
13,1305,Аксессуары для фотоаппаратов
13,1302,Бинокли и телескопы
13,1304,Видеокамеры
13,1311,Вспышки
13,361220,Карты памяти
13,1314,Литература
13,1312,Объективы
13,1313,Освещение и студийное оборудование
13,1309,Пленочные фотоаппараты
13,1316,Принтеры, сканнеры, расходный материал
13,1318,Проекторное оборудование
13,1317,Профессиональное видео оборудование
13,1310,Проявка
13,1301,Сумки, кейсы
13,1320,Устаревшее
13,361219,Фильтры
13,1315,Фотоальбомы и рамки
13,1306,Цифровые фотоаппараты
13,1319,Штативы
13,1321,Другое
1305,1152,Аккумуляторы и батареи
1305,1308,Зарядные устройства
1305,1307,Провода
1305,1151,Другое
25,1174,iPad, планшеты
25,1092,Аксессуары для iPad, планшетов
25,2507,Аксессуары для компьютеров
25,2508,Диски, флешки
25,250704,Кабеля, адаптеры
25,250801,Клавиатуры, мыши и устройства ввода
25,2506,Комплектующие, запчасти
25,2504,Мониторы и проекторы
25,2502,Настольные компьютеры
25,2503,Ноутбуки, нетбуки
25,2513,Принтеры, сканеры, аксессуары
25,2505,Программное обеспечение
25,2509,Сетевое оборудование
25,2514,Устаревшее
25,2515,Другое
1092,1296,Защитные плёнки
1092,1294,Чехлы
1092,1295,Другое
2507,250708,USB хабы
2507,250701,Адаптеры, зарядки для лаптопов
2507,250703,Батареи для лаптопов
2507,250716,Веб-камеры
2507,250715,Колонки и наушники
2507,250710,Микрофоны
2507,250706,Сумки, кейсы для лаптопов
2507,250909,Считыватели ID-карт
2507,250717,Другое
2508,2501,CD, DVD и Blu-ray приводы
2508,250807,Жесткие диски, внешние
2508,250808,Жесткие диски, внутренние
2508,250809,Флешки USB
2508,250811,Другое
250801,250707,Джойстики
250801,1113,Клавиатуры
250801,250711,Мыши
250801,250713,Другое
2506,250714,Блоки питания
2506,250602,Вентиляторы, охлаждение
2506,250609,Видеокарты
2506,250608,Запчасти для ноутбуков
2506,250606,Звуковые карты
2506,250712,Корпуса
2506,250605,Материнские платы
2506,250603,Память
2506,250601,Процессоры
2506,250607,ТВ тюнеры
2506,250610,Другое
2513,2511,Аксессуары и расходные материалы для принтеров
2513,250905,Принт серверы
2513,2510,Принтеры и МФУ
2513,2512,Сканеры
2509,250604,Модемы
2509,250901,Провода, коннекторы
2509,250907,Роутеры
2509,250908,Свичи
2509,250904,Сетевые карты
2509,250910,Другое
14,1402,Батареи
14,1265,Гарнитуры и наушники
14,1271,Держатели
14,1401,Запчасти
14,1267,Зарядки и станции
14,1266,Защитные плёнки
14,1270,Карты памяти
14,1272,Корпуса, панели
14,1403,Мобильные телефоны
14,1269,Провода и адаптеры
14,361222,Смарт-часы
14,1405,Телефонные карты и SIM
14,1268,Чехлы
14,1406,Другое
